episodes,DQV,DQV-Max,DQN,DDQN,Upside-Down
1242,16.8019589071,17.6707016188,15.3685314833,15.9798432853,-21
1243,16.8020929988,17.636245334,15.3476365142,16.0780783982,-21
1244,16.7460178558,17.5948921585,15.4108749719,16.0796381095,-21
1245,16.6271860724,17.5673528249,15.532586615,16.0188696232,-20
1246,16.4415891333,17.5767141939,15.6761958859,15.93510127,-21
1247,16.1951012651,17.6411712212,15.8106451837,15.8527787934,-20
1248,15.9115760013,17.764740606,15.9228431148,15.7777270342,-21
1249,15.6320665521,17.9315199085,16.0196376181,15.7094278243,-21
1250,15.4031644585,18.1069757469,16.1181651609,15.6556726179,-21
1251,15.2603460352,18.2463497888,16.2315824494,15.6372498161,-21
1252,15.2185598886,18.3069922476,16.3602667264,15.6789503792,-21
1253,15.2739369544,18.2607684716,16.4926370986,15.7946484555,-21
1254,15.4132295081,18.1023479897,16.6141319051,15.9768204125,-21
1255,15.6215984157,17.8528599153,16.7165038311,16.1978813121,-19
1256,15.8813923199,17.55658064,16.8015755398,16.4204318585,-21
1257,16.1663753359,17.271902385,16.8776934474,16.6102458853,-19
1258,16.4394993539,17.056723,16.9527142785,16.7469744099,-21
1259,16.6619227032,16.9535034673,17.0278778067,16.8280090015,-20
1260,16.811496957,16.9790117588,17.0961783554,16.8680202832,-21
1261,16.8981301827,17.120348838,17.1468924566,16.8914008382,-21
1262,16.9641066068,17.3400501637,17.1731651709,16.9205194366,-20
1263,17.0657014957,17.5858238216,17.1772315276,16.9624676386,-21
1264,17.2430489495,17.8041598513,17.1671821542,17.0034265363,-20
1265,17.4949684211,17.9527607425,17.1482152357,17.0143256811,-21
1266,17.7743618011,18.0098313985,17.11472567,16.9681973612,-21
