episodes,Transfer,No-Transfer
457,-136.076711522,-145.0904691211
458,-135.4971647336,-149.2544956013
459,-135.0931970193,-153.051209974
460,-134.7033930329,-155.9738256155
461,-134.2054538449,-157.6627772528
462,-133.5876402413,-158.0261388171
463,-132.9626209005,-157.2915283581
464,-132.5254615896,-155.9530590793
465,-132.472606986,-154.6330554077
466,-132.9183775842,-153.931020406
467,-133.8400799432,-154.2632782982
468,-135.0717100972,-155.7803822393
469,-136.3546327932,-158.3634247139
470,-137.4227062544,-161.6984352823
471,-138.0883749576,-165.3739253811
472,-138.3096131953,-168.9915102027
473,-138.204042877,-172.2221711927
474,-138.0138326422,-174.8497666173
475,-138.039585011,-176.735932773
476,-138.5405672224,-177.8004915829
477,-139.6703976668,-177.988587469
478,-141.4270257568,-177.2790102114
479,-143.6447137023,-175.7420678687
480,-146.0357952964,-173.5778377292
481,-148.2516361561,-171.1388544763
482,-149.9516975118,-168.8875766141
483,-150.884200399,-167.2648887405
484,-150.9240395669,-166.5352885652
485,-150.0861792431,-166.6568625264
486,-148.5053066141,-167.2377160418
487,-146.381583571,-167.6177815154
488,-143.9343004229,-167.0488534812
489,-141.3695766494,-164.89989173
490,-138.8444411149,-160.8553029802
491,-136.4741269423,-155.0043441788
492,-134.3239179007,-147.8033491263
493,-132.4179620601,-139.9541252825
494,-130.7611513597,-132.2299656613
495,-129.3420268653,-125.2999862207
496,-128.1580518441,-119.6148710537
497,-127.2241248691,-115.3893664778
498,-126.5699310547,-112.6480688847
499,-126.2298875968,-111.3116918648
