episodes	DQV	DQV-Max	DQN	DDQN
141	2.8584976133615374	-2.6234007652615063	-6.19057439941291	-10.635640101296234
142	3.46335180645461	-1.8986745666006075	-5.8554534490063395	-11.086084572400823
143	4.091981736205339	-1.0348571064908159	-5.811495657589314	-10.983728220382877
144	4.7065851202333855	-0.1164203901124522	-6.131552562399358	-10.35102831031667
145	5.248400249977471	0.7789092381821131	-6.775576952461895	-9.384426827527893
146	5.655751601224114	1.5877718612238017	-7.614761566529108	-8.399396539723336
147	5.886852016577794	2.2576523464741385	-8.494588338694296	-7.724964442781426
148	5.926696509980111	2.739072451159678	-9.294168598368092	-7.588321425384533
149	5.772860282820116	2.9850054753419997	-9.950838846164471	-8.029683606642589
150	5.428701792796683	2.961315671594269	-10.449000794673577	-8.901093629734442
151	4.9206160886128645	2.657492933652823	-10.798786094446841	-9.945429055150015
152	4.322168362094073	2.0953518861131357	-11.02433939146648	-10.918058059482956
153	3.7547167980912683	1.3256506053568322	-11.167897730603478	-11.685582651038226
154	3.3520594873944103	0.4299114909979638	-11.282229106384847	-12.261397759849068
155	3.2142536550219494	-0.4779543804461667	-11.405696236929781	-12.775635569034428
156	3.38035508802569	-1.2501402987382018	-11.529082716122593	-13.398524398069668
157	3.8256905282815747	-1.7220507353967496	-11.582458809237139	-14.250299949736288
158	4.4797522335193	-1.7477430313703168	-11.45699918240963	-15.331761958880156
159	5.241012488657776	-1.2495480666203935	-11.0555091055367	-16.499275665744758
160	5.995338655597156	-0.25473838394215664	-10.340855348411598	-17.506276046296243
161	6.640352277971498	1.094236871469346	-9.36470754891265	-18.08751284396729
162	7.119285457855943	2.566776949803522	-8.25809209837345	-18.048226594483257
163	7.440724748548675	3.8999891775524964	-7.197964373154718	-17.324141490618047
164	7.666308699074007	4.869077730868943	-6.357173497459625	-15.997031965902439
165	7.864628492281559	5.351982414709583	-5.856588420052929	-14.27756118718594
166	8.060243921008512	5.352822750957363	-5.730425248786982	-12.458848537157479
167	8.217184968196825	4.987787880119713	-5.911817532956641	-10.842415059547074
168	8.269374313377755	4.432191544578192	-6.250389849916671	-9.657019047405178
169	8.177712176429369	3.8692398921668794	-6.562766254902939	-8.989827749814948
170	7.972429718424829	3.4581070646190053	-6.7059894505480315	-8.768100892879547
171	7.742761381991954	3.316470957613309	-6.6432631726919285	-8.803177118916157
172	7.5820083826935285	3.5044037230106575	-6.458406147053422	-8.87366314843245
173	7.5284614528150655	4.001504210386023	-6.308106088169013	-8.812178122511908
174	7.541674493357015	4.6992094822651085	-6.333481535915305	-8.561568726384762
175	7.535065193207575	5.424593136424358	-6.58283453637072	-8.166098545004036
176	7.443284795777725	6.000690680854368	-6.991739315004811	-7.725166864534143
177	7.277577933866315	6.310140643868504	-7.4288963862574535	-7.322818371706067
178	7.130290898324206	6.331924849233484	-7.772956758188324	-6.987366978707257
179	7.1205051679438345	6.121781163907875	-7.974611391740665	-6.699130675058804
180	7.319594693048623	5.766561444348057	-8.070946415997533	-6.437415369137901
181	7.702019766837541	5.330523155706784	-8.151931967520344	-6.237056034543752
182	8.156434899592007	4.838946341658576	-8.304380403800707	-6.1967281914401235
183	8.539602039345215	4.295567195191774	-8.563055918307603	-6.427470866861777
184	8.743368834571474	3.71981547103418	-8.890399743954806	-6.972823751773137
185	8.734828396728302	3.171577233884099	-9.18641972717147	-7.758205535297083
186	8.565168109490104	2.74708194939392	-9.323169070357805	-8.609106513120837
187	8.343661346367023	2.5419253508779764	-9.194055185145348	-9.322706701256644
188	8.194473872065432	2.60472273785227	-8.764272594176857	-9.744765864540307
189	8.20214835988362	2.903561065867406	-8.103157044912557	-9.811414557241365
190	8.366389776040315	3.332324936988474	-7.380314558413248	-9.54038607761234
191	8.595885451499448	3.7620575614301535	-6.815120129976867	-9.005829330140374
192	8.756094132871175	4.101677456916633	-6.594019008693865	-8.315299175811282
193	8.753157032479894	4.348950139325277	-6.791500986607072	-7.588603101686328
194	8.594562017669835	4.587350406315681	-7.3315472717499235	-6.943903416009083
195	8.376392749227165	4.938886391385614	-8.017478728877956	-6.478225546158537
196	8.213433185405089	5.499475910726964	-8.61265992253545	-6.252634347554261
197	8.164275459444593	6.287334290426745	-8.94008204578138	-6.29186409071924
198	8.213974033487215	7.228548801333398	-8.946072051454193	-6.5930078813346755
199	8.324148827240734	8.179764853957893	-8.702585381048166	-7.139717499132043
200	8.486984311428015	8.969972802128222	-8.351328397517339	-7.913362113798637
201	8.734375234407258	9.45318858958113	-8.022957241257355	-8.876902906381426
202	9.095239545237684	9.55307908066443	-7.776527425494707	-9.946493041036456
203	9.551444291834711	9.289002000224633	-7.5867181569840705	-10.967364620601684
204	10.042575633332122	8.77615984043289	-7.377785642042895	-11.729177040044615
205	10.51872737170866	8.189370911478774	-7.082439860290099	-12.035048690791946
206	11.002028437222432	7.7019959257606905	-6.6887320312962295	-11.78371478675069
207	11.587227506089047	7.416584549042948	-6.250205808622053	-11.025148511181444
208	12.383319840488038	7.334926239804885	-5.854561420769819	-9.952568206618551
209	13.42751109183207	7.386587835531766	-5.5725814938250195	-8.8439630045478
210	14.642881043054114	7.510661971595532	-5.418533007314353	-7.983711415062029
211	15.856659617932062	7.732101020400764	-5.3480370988209485	-7.591583293181349
212	16.87046530893688	8.168795710781662	-5.288092764816215	-7.764314813706638
213	17.52119835835993	8.948745496181925	-5.1804594272517095	-8.43878085012428
214	17.716105319948095	10.091656272981206	-5.013086875139367	-9.392588339337532
215	17.438715802381587	11.436553263790668	-4.821108030246782	-10.302734391390043
216	16.744429084833023	12.684761516471747	-4.66566035681841	-10.851328923709904
