epochs catchv0 stdv0 catchv1 stdv1 catchv2 stdv2 catchv3 stdv3
254 0.97111 0.0 0.93444 0.02 0.97444 0.01 0.89111 0.01
255 0.97556 0.01 0.92667 0.03 0.97222 0.01 0.88778 0.01
256 0.97889 0.01 0.93444 0.03 0.97111 0.01 0.89333 0.01
257 0.97778 0.01 0.94889 0.02 0.96556 0.01 0.89889 0.01
258 0.97667 0.01 0.94111 0.03 0.96778 0.0 0.89111 0.02
259 0.97556 0.01 0.94 0.03 0.97333 0.0 0.89889 0.02
260 0.97667 0.01 0.94667 0.02 0.97222 0.0 0.90889 0.02
261 0.97222 0.01 0.94556 0.03 0.97444 0.0 0.90222 0.02
262 0.97333 0.01 0.93667 0.03 0.97333 0.0 0.91556 0.01
263 0.97111 0.01 0.94444 0.02 0.97222 0.0 0.91444 0.01
264 0.97444 0.01 0.94222 0.02 0.97333 0.0 0.9 0.01
265 0.97111 0.01 0.94 0.02 0.97222 0.0 0.89778 0.0
266 0.97556 0.0 0.94333 0.03 0.97889 0.0 0.89889 0.01
267 0.96778 0.0 0.95 0.02 0.97444 0.0 0.89333 0.0
268 0.96778 0.0 0.95111 0.03 0.97667 0.0 0.89111 0.01
269 0.96333 0.0 0.95778 0.03 0.98111 0.0 0.89778 0.01
270 0.96778 0.0 0.95556 0.02 0.98 0.0 0.9 0.0
271 0.96889 0.0 0.95778 0.02 0.98 0.0 0.89667 0.0
272 0.97556 0.0 0.95778 0.02 0.97444 0.01 0.89889 0.01
273 0.98 0.0 0.96222 0.01 0.96667 0.01 0.89889 0.01
274 0.98444 0.0 0.96556 0.01 0.96222 0.01 0.89444 0.02
275 0.98556 0.0 0.96222 0.01 0.96 0.0 0.91111 0.01
276 0.98444 0.0 0.95667 0.01 0.96556 0.0 0.91556 0.01
277 0.98 0.0 0.95556 0.01 0.96667 0.0 0.90444 0.0
278 0.97444 0.01 0.95333 0.01 0.96889 0.0 0.9 0.0
279 0.97111 0.01 0.94889 0.0 0.97333 0.0 0.89 0.01
280 0.96667 0.01 0.94778 0.01 0.97111 0.0 0.88222 0.01
281 0.96667 0.01 0.95 0.01 0.97 0.01 0.88 0.01
282 0.96667 0.01 0.95111 0.01 0.97556 0.01 0.87889 0.0
283 0.96889 0.01 0.95 0.01 0.96778 0.01 0.89222 0.0
284 0.97111 0.01 0.95556 0.02 0.96111 0.01 0.89778 0.01
285 0.97889 0.01 0.95889 0.01 0.96333 0.02 0.89222 0.0
286 0.96889 0.02 0.95333 0.02 0.96444 0.01 0.89889 0.01
287 0.97111 0.02 0.95778 0.01 0.97 0.01 0.89444 0.01
288 0.97 0.01 0.95556 0.02 0.97222 0.0 0.88667 0.02
289 0.97 0.01 0.96 0.01 0.97889 0.0 0.88667 0.01
290 0.97333 0.0 0.96 0.01 0.98 0.01 0.89222 0.01
291 0.97222 0.0 0.95778 0.01 0.97556 0.01 0.89667 0.0
292 0.97444 0.0 0.96333 0.01 0.97778 0.01 0.90333 0.01
293 0.97333 0.0 0.96 0.01 0.97444 0.0 0.91222 0.01
294 0.97333 0.0 0.95667 0.01 0.97222 0.0 0.91667 0.01
295 0.97222 0.0 0.96111 0.01 0.97222 0.01 0.90444 0.01
296 0.97333 0.0 0.96333 0.0 0.97667 0.0 0.90222 0.0
297 0.96889 0.01 0.97111 0.0 0.97222 0.01 0.89778 0.0
298 0.96778 0.0 0.97222 0.01 0.97 0.01 0.89 0.0
299 0.97333 0.01 0.97333 0.0 0.97111 0.01 0.88333 0.0
300 0.97556 0.0 0.96889 0.0 0.96889 0.01 0.88444 0.0
301 0.97556 0.0 0.97444 0.0 0.97 0.01 0.88889 0.0
302 0.98111 0.0 0.97333 0.0 0.97778 0.0 0.89 0.01
303 0.97778 0.0 0.97444 0.0 0.98 0.0 0.89111 0.0
304 0.97444 0.0 0.98 0.0 0.98111 0.01 0.90778 0.01
305 0.97333 0.01 0.97222 0.0 0.98222 0.0 0.89889 0.0
306 0.97 0.0 0.96667 0.01 0.98222 0.0 0.88889 0.0
307 0.96889 0.0 0.96556 0.01 0.97889 0.01 0.89333 0.02
308 0.97111 0.0 0.96444 0.01 0.97111 0.0 0.88333 0.01
309 0.97778 0.0 0.96 0.01 0.97 0.0 0.87333 0.0
310 0.97889 0.0 0.96111 0.01 0.96778 0.0 0.87333 0.0
311 0.98 0.0 0.96667 0.01 0.96889 0.0 0.88444 0.0
312 0.97667 0.0 0.97333 0.01 0.96889 0.0 0.88778 0.0
313 0.97111 0.01 0.96889 0.0 0.97222 0.0 0.89333 0.01
314 0.97111 0.0 0.97111 0.0 0.97556 0.0 0.90889 0.02
315 0.97111 0.01 0.97556 0.0 0.97444 0.0 0.90444 0.02
316 0.97556 0.0 0.97333 0.0 0.97556 0.0 0.90556 0.0
317 0.97778 0.01 0.97111 0.0 0.97667 0.01 0.90778 0.0
318 0.98444 0.01 0.97444 0.0 0.97667 0.01 0.90444 0.01
319 0.98 0.0 0.97444 0.0 0.97222 0.0 0.89778 0.01
320 0.97556 0.0 0.97222 0.01 0.97111 0.0 0.89556 0.0
321 0.97556 0.0 0.96667 0.0 0.97222 0.01 0.88667 0.01
322 0.96778 0.0 0.96 0.0 0.97333 0.01 0.88556 0.01
323 0.96778 0.0 0.95778 0.0 0.97333 0.0 0.88778 0.01
324 0.97111 0.0 0.95667 0.0 0.97667 0.0 0.9 0.01
325 0.97 0.0 0.96444 0.0 0.97556 0.0 0.89667 0.01
326 0.96778 0.0 0.96778 0.0 0.96556 0.01 0.90111 0.01
327 0.96667 0.01 0.96556 0.01 0.96111 0.01 0.90333 0.03
328 0.96778 0.01 0.96778 0.0 0.96444 0.01 0.90444 0.02
329 0.96667 0.01 0.96111 0.01 0.96444 0.0 0.89778 0.02
330 0.97444 0.0 0.96444 0.01 0.96889 0.0 0.89556 0.02
331 0.97667 0.0 0.97 0.01 0.97222 0.0 0.89222 0.02
332 0.98 0.0 0.97444 0.0 0.97444 0.0 0.89667 0.02
333 0.97889 0.0 0.98 0.01 0.97333 0.0 0.89444 0.01
334 0.98 0.0 0.98111 0.01 0.97444 0.0 0.89667 0.01
335 0.97333 0.0 0.97778 0.0 0.97444 0.0 0.90111 0.01
336 0.97 0.01 0.97889 0.01 0.97778 0.0 0.89667 0.02
337 0.97333 0.0 0.97444 0.01 0.97778 0.0 0.89444 0.02
338 0.97444 0.0 0.97333 0.0 0.97222 0.01 0.89222 0.01
339 0.97556 0.0 0.97556 0.0 0.97444 0.01 0.90444 0.0
340 0.96667 0.01 0.97222 0.0 0.97444 0.0 0.91 0.0
341 0.96444 0.01 0.97444 0.01 0.97222 0.0 0.90556 0.0
342 0.96778 0.01 0.97222 0.0 0.97667 0.01 0.91 0.01
343 0.97 0.0 0.97778 0.0 0.96778 0.01 0.90667 0.01
344 0.97222 0.0 0.98111 0.01 0.96444 0.01 0.90222 0.0
